resort,lat,lon,altitude,north_south,east_west,1985-01,1985-02,1985-03,1985-12,2015-01,2015-02,2015-03,2015-12
ski-brule,46.029267,-88.701926,478.6120911,north,midwest,16.100000381469727,16.100000381469727,16.093396477033323,16.100000381469727,16.100000381469727,16.100000381469727,16.09965998135236,16.099998474121094
cottonwood-butte,46.075427,-116.45282,876.4840698,north,rockies,16.05675888742908,16.09435188142608,8.046142322197854,16.098251788136174,3.175836133868872,0.43156833769550457,0.00333515594819421,11.56638679347001
bluewood,46.08248726,-117.8510227,1017.164124,north,west,16.062144302097142,16.099642980930728,15.743749032065594,16.09977257604671,4.76796583441128,4.240990533448985,0.0841331478693329,15.572820443757951
discovery-ski-area,46.249154,-113.237923,1794.009888,north,rockies,16.099971907732034,16.10000038146973,16.09721999088732,16.09999788014855,15.969799532927485,16.074064377718877,10.304690568916692,16.097800617548934
hiawatha-rock-river-township,46.358184,-86.881442,122.9063644,north,midwest,16.100000381469723,16.100000381469723,16.093436305012432,16.09999258750662,16.100000381469723,16.100000381469723,16.099958627133653,16.099799015556847
whitecap-mountains,46.40864449,-90.39588628,301.2975464,north,midwest,16.10000038146973,16.10000038146973,16.05063976473329,16.10000038146973,16.10000038146973,16.10000038146973,16.093157031297398,16.09999452722475
mount-ski-gull,46.447227,-94.376454,409.4263611,north,midwest,16.100000381469727,16.100000381469727,14.934859673396378,16.100000381469727,16.100000381469727,16.100000381469727,15.184913156602835,16.099992353295008
mt-zion-hill,46.474117,-90.162224,267.3054199,north,midwest,16.100000381469727,16.100000381469727,16.05817248311306,16.100000381469727,16.100000381469727,16.100000381469727,16.095942964555174,16.099990930946895
black-river-basin-snowriver-mountain-resort,46.504171,-89.99866,248.1086731,north,midwest,16.100000381469727,16.100000381469727,16.077405884128826,16.100000381469727,16.100000381469727,16.100000381469727,16.098117980137243,16.099992750779947
marquette-mountain,46.508077,-87.419163,148.8603668,north,midwest,16.100000381469727,16.100000381469727,16.04478952436748,16.099976299967825,16.100000381469727,16.100000381469727,16.098992263962852,16.099540888692776
jackson-creek-summit-snowriver-mountain-resort,46.509093,-89.970963,248.704422,north,midwest,16.100000381469727,16.100000381469727,16.078739113110164,16.100000381469727,16.100000381469727,16.100000381469727,16.098297401319922,16.099992878135875
big-powderhorn-mountain,46.509621,-90.094554,248.6371613,north,midwest,16.10000038146973,16.10000038146973,16.060925705936057,16.10000038146973,16.10000038146973,16.10000038146973,16.096477894057486,16.09998976959217
al-quaal,46.51405671,-87.6558866,186.5922852,north,midwest,16.100000381469727,16.100000381469727,16.097593037470123,16.100000381469727,16.100000381469727,16.100000381469727,16.099964862953886,16.099988740461168
bigrock-mountain,46.52294,-67.829322,226.2575378,north,east,16.100000381469727,16.100000381469727,16.09992179650478,16.100000381469727,16.100000381469727,16.100000381469727,16.099998474121094,16.099994464330837
bears-den-mountain-fort-ransom,46.53144601,-97.93609973,405.6616516,north,midwest,16.100000381469727,16.100000381469727,11.011071027721933,16.100000381469727,16.100000381469727,16.100000381469727,7.6258304959761105,16.100000381469727
bald-mountain,46.574771,-115.870896,1223.662231,north,rockies,16.085962417611157,16.09197785135198,2.2116545562636762,16.09883486485678,3.536613419439165,0.1527674958727058,0.0004880848344871458,7.346452081957025
huff-hills,46.62678,-100.723701,595.4552002,north,midwest,16.100000381469727,16.100000381469727,4.585940064721718,16.100000381469727,16.099993113696655,16.100000381469727,0.20803059068504365,16.09997142383176
white-pass,46.637548,-121.390064,1154.742188,north,west,15.873123143405026,16.098612711593706,15.998303668874655,16.099857458018608,2.4338460287705415,5.527643851553919,0.24531690115715052,15.989688438568438
