resort,lat,lon,altitude,north_south,east_west
the-highlands-at-harbor-springs,45.470846,-84.937085,231.9043579,north,midwest
nubs-nob-ski-area,45.471154,-84.904158,231.436615,north,midwest
wild-mountain,45.4887,-92.70586,315.167572,north,midwest
big-squaw,45.506484,-69.700895,448.6278381,north,east
christie-mountain,45.50866119,-91.38033523,365.6036072,north,midwest
camp-10,45.550091,-89.503724,462.2684631,north,midwest
lost-trail-powder-mountain,45.691708,-113.953016,1815.1604,north,rockies
spout-springs,45.759821,-118.050838,1026.496094,north,west
norway-mountain,45.794522,-87.868369,324.9125061,north,midwest
bridger-bowl-bozeman,45.817263,-110.897402,2010.507446,north,rockies
pine-mountain,45.838577,-88.089055,365.1357117,north,midwest
andes-tower-hills,45.8506405,-95.62988298,371.9991455,north,midwest
john-melissa-besse-sports-park-gladstone,45.86027694,-87.03855111,214.9266052,north,midwest
snowhaven,45.867713,-116.089581,930.7156982,north,rockies
keyes-peak,45.89538905,-88.29941793,408.0291138,north,midwest
ski-brule,46.029267,-88.701926,478.6120911,north,midwest
cottonwood-butte,46.075427,-116.45282,876.4840698,north,rockies
bluewood,46.08248726,-117.8510227,1017.164124,north,west
discovery-ski-area,46.249154,-113.237923,1794.009888,north,rockies
hiawatha-rock-river-township,46.358184,-86.881442,122.9063644,north,midwest
whitecap-mountains,46.40864449,-90.39588628,301.2975464,north,midwest
mount-ski-gull,46.447227,-94.376454,409.4263611,north,midwest
mt-zion-hill,46.474117,-90.162224,267.3054199,north,midwest
black-river-basin-snowriver-mountain-resort,46.504171,-89.99866,248.1086731,north,midwest
marquette-mountain,46.508077,-87.419163,148.8603668,north,midwest
jackson-creek-summit-snowriver-mountain-resort,46.509093,-89.970963,248.704422,north,midwest
big-powderhorn-mountain,46.509621,-90.094554,248.6371613,north,midwest
al-quaal,46.51405671,-87.6558866,186.5922852,north,midwest
