resort,lat,lon,altitude,north_south,east_west,1985-01,1985-02,1985-03,1985-12,2015-01,2015-02,2015-03,2015-12
willamette-pass-crescent,43.600684,-122.035419,1486.814697,north,west,420.156311257753,389.2350935399969,403.27689496160457,338.0713763684161,342.6195545938232,349.2194423501002,190.13283743409724,230.72198413272972
whaleback,43.601569,-72.181096,394.6594849,north,east,170.15431290095643,227.38356432415767,185.2146983178751,185.91708655629836,190.05732978706712,200.4683273186139,338.1784546069395,226.1089636281929
christmas-mountain,43.608789,-89.859785,293.1450195,north,midwest,148.68450360605325,190.201025487356,204.8596099293291,132.60217812788466,138.62013794957582,184.19922785303493,227.10692004071598,142.33614328824558
abenaki,43.609331,-71.229985,160.6346436,north,east,192.4234427673301,250.62657367448872,184.84910608595158,192.79940779742418,180.7188439715834,203.78173969185147,355.85206675234986,241.89179611766036
killington,43.617802,-72.803472,520.340332,north,east,150.6821852250511,208.09875747714318,223.42849980356613,166.5209711760985,196.7358414051853,213.24181402237903,313.99855177319915,224.18182012747542
storrs-hill-lebanon,43.634795,-72.251497,407.7286682,north,east,181.28713774413688,242.00895126189144,182.24218891315354,197.91041444523248,230.98442322133627,209.95901322277524,359.1702648958496,239.55305016375576
snow-ridge,43.64071345,-75.42136198,312.082489,north,east,144.65509342185896,227.2518175371392,211.54387198348647,187.2271952578376,178.79121072816883,206.01762737421484,311.7045870569954,194.1727578882947
kelly-canyon,43.6457709,-111.6302937,1744.591431,north,rockies,289.8930325872507,259.49058157510035,251.10300245332388,198.7703856269154,232.53624329510328,294.69920433116306,,161.12003757896852
quechee-lakes-ski-area,43.657244,-72.443146,444.2240601,north,east,201.8447447669798,249.47347165492184,193.26647358309876,193.18030152818466,269.19188790887245,233.71416818398154,372.0726065598159,245.99037999480953
dynamite-hill-chestertown,43.659391,-73.795588,501.0388489,north,east,198.83830906505818,234.9803835145562,205.13099422266018,200.2085229908778,279.1874031051923,224.95512725374672,369.38526522785855,233.4670387736671
pico-mountain,43.660762,-72.843712,521.963562,north,east,146.8194508605209,208.23271628641797,212.30452346764648,168.57555472390246,170.32959238876063,197.62978989398695,299.907270490546,213.13994580041117
saskadena-six,43.665303,-72.544619,463.2731628,north,east,213.24380253655784,256.19835000496874,237.32430410731538,204.4540313361898,279.3990704412254,243.33034688275433,374.84724852401763,248.58285594888588
bald-mountain-sun-valley,43.67035711,-114.3679837,1941.646973,north,rockies,338.3801162112047,292.5526578494679,322.90764150199965,266.16832390130855,260.1469066202683,387.72503650532104,297.09153813295904,199.5528685068667
gore-mountain,43.67356271,-74.00791936,493.1131897,north,east,154.9234631222967,202.93004418842412,197.97257150758807,168.6673551191911,176.0672819961156,186.43471919144272,281.6565814782672,212.75731035705476
eagle-island-park,43.685743,-116.396197,1253.995239,north,rockies,179.8052787318401,,,145.43953361437786,,,,
dollar-mountain-sun-valley,43.68989527,-114.3458387,1954.218506,north,rockies,368.5870980926796,252.22825375487477,171.9508885568352,241.36199693174285,192.64313180481523,339.67271978995547,275.97960739576246,149.35225938169793
mccauly-mountain,43.698201,-74.962839,468.5627136,north,east,184.66856860631736,235.5134417514599,315.535950018866,204.74099844531932,189.82991243850196,207.5409917649165,303.26516626246655,190.51543080990007
mt-la-crosse,43.743342,-91.183211,322.9829407,north,midwest,139.3463120961887,180.27523901625563,215.94639966010857,129.03036967156027,143.5838526598514,175.3044584777337,195.0725814951701,139.01415507334931
tenney-mountain,43.74661157,-71.76467558,301.362854,north,east,200.55310338782007,260.8068106486967,238.92412071486913,190.6612206800042,238.5758196484326,224.6704958530706,352.10177886596915,237.94338383133504
red-hill-moultonborough,43.749287,-71.416282,217.7135315,north,east,198.94682367627456,255.08470031422888,171.32417611576122,184.19934408014404,194.68514575140006,203.6934197768917,343.236250653171,237.47098348297683
nutt-hill-plymouth,43.752132,-87.989751,244.4993286,north,midwest,170.44742294205057,219.53144844283514,191.66194655489534,109.66655226996494,143.41706917575348,200.3350392286772,244.82256726623524,190.2320706802307
bogus-basin,43.763764,-116.102378,1455.020996,north,rockies,345.2985702963702,346.38223554563746,365.2443705182627,269.87962558672837,299.1997769261878,354.19064374920737,,208.5014670496364
indian-lake,43.775174,-74.266459,524.8392334,north,east,205.74486986103383,242.22727851981023,277.17194616106264,189.99409124707287,246.49634587079368,221.94514551745408,334.32583814158704,212.2469245868805
dartmouth-skiway,43.7887814,-72.09961127,375.196167,north,east,171.7945365418036,239.00107644963535,207.570099931441,182.72743786474666,201.61562376273224,205.25612688692507,329.65211748204524,227.11927514042227
grand-targhee,43.788829,-110.956936,2011.882446,north,rockies,305.0369508127922,289.56081989054496,345.62723372561067,248.681068425832,285.40533758680516,350.7875742372166,410.2530279459685,257.61180593801225
campton-mountain,43.867988,-71.609634,269.7069092,north,east,195.64248685481348,248.42012226316058,184.62270455627964,182.44124829870034,169.74232696145663,193.7021933442528,299.49948444379567,192.4189193579713
king-pine-purity-spring-resort,43.868743,-71.088813,151.3557739,north,east,197.2716425328623,258.6398465878019,168.48277347275746,176.35836743466584,240.31345716976168,226.4710080061569,369.53876624251217,263.0357897887964
farrs-hill-randolph,43.931287,-72.664458,454.880127,north,east,226.29442251493566,266.28962180305416,267.9512660385936,207.19095698228816,283.8842048449559,240.42318075491596,366.6356735933354,246.00514181404077
middlebury-college-snow-bowl,43.938735,-72.958628,496.1589355,north,east,151.98665887815258,217.98157538505296,223.40911050238068,184.98557805724835,237.38630870016055,229.95689618619852,322.1397551402915,225.940832280446
snow-snake,43.95919317,-84.781703,302.3320923,north,midwest,183.63521636911864,236.1708726186842,303.3386645344018,141.02559852950287,187.3716148152388,219.93139015481748,243.9131189181456,163.54149233722183
waterville-valley,43.964573,-71.52885,256.6839905,north,east,200.4286355835407,259.0482168687669,297.41965993449395,185.62019713863285,282.26672606318203,267.31963046623247,348.02666061288716,268.6350687394467
skyline-friendship,43.982333,-89.820861,266.9672241,north,midwest,144.39950930208974,186.72237159770765,203.51545268200056,142.9765830045636,157.81709305959842,195.87082883570102,212.65329241579232,170.0296087774976
mt-bachelor,44.002111,-121.678747,1319.40564,north,west,438.64458880195116,408.76336027591134,427.69897923473644,357.62163235253297,383.5587405296275,390.0464894739689,412.47591370744067,297.1917249100077
sand-master-park-florence,44.011788,-124.106416,-73.09503937,north,west,,,,,,,,
whitetail-ridge-fort-mccoy,44.021457,-90.721931,306.0375671,north,midwest,138.6069439186909,178.79881602099408,195.9139261556913,137.55320760754077,151.57942420898473,176.74979723811697,181.33420175266298,146.67277887202482
loon-mountain,44.056509,-71.62969,289.3946838,north,east,225.15471775310056,277.33300553812137,318.00520120141624,192.27989984796122,234.56142877619118,227.69884368711809,322.8424664314474,234.54286386051527
cranmore-mountain-resort,44.057484,-71.109535,187.163681,north,east,208.0843466471652,273.95955869529666,199.93333595431238,178.15436947011588,234.2806360527843,219.4559457717277,356.54186626378373,235.77187942511657
pleasant-mountain,44.058103,-70.814698,155.6645813,north,east,175.7107621385886,251.11768282860024,151.32809518685318,162.0559855746152,186.21430702474518,207.2946664509994,352.61401985247494,224.0397726533709
northeast-slopes-east-corinth,44.072628,-72.250753,387.9704285,north,east,214.63640192759235,266.3673547541611,278.2466813702092,196.3618985833156,268.2294144799725,241.767701370414,360.4578039014284,250.92343339005464
attitash-mountain-resort,44.082352,-71.230035,217.7562714,north,east,226.06254192664193,284.8954878617396,273.2895191125731,194.77711612294829,247.21693502887504,228.23956256053776,353.68177965684345,238.4811824692384
nordic-mountain,44.121041,-89.181445,258.4476318,north,midwest,149.87043031533725,192.51215562117093,192.44043965049286,161.30601291509208,188.48812065422615,240.65198649682057,273.7093093395331,184.8038642929927
mt-kato,44.133191,-94.034236,307.2962341,north,midwest,194.90255488374555,211.03433376186976,178.28990263774202,140.4312545967881,163.4131156128487,167.08939535074475,193.27319218365025,138.00486035069267
sugarbush,44.135287,-72.89625,428.919281,north,east,174.92803744372196,228.51630384610021,235.55348553421823,194.57757121163718,260.6522023887937,244.97744223518094,339.0942032890889,231.41032724014647
lost-valley,44.136246,-70.280692,153.2899628,north,east,199.4463978789671,275.6325208724394,147.79297473360475,173.31043598939524,196.09288116562166,222.87768356546,359.4862773901401,246.33085501777407
meadowlark-ski-lodge,44.164332,-107.217084,2037.696655,north,rockies,246.12380253623144,251.73079074991492,297.9096558353094,227.39728768645577,259.9274163550469,296.4911157791882,341.6036935494485,217.57277295865575
black-mountain-jackson,44.16653379,-71.1653599,230.2714996,north,east,237.80272238875418,296.5900230404062,311.8935215759342,197.36345942961395,272.1716721017292,249.85804846442383,362.29010300021037,258.64288098149353
big-tupper-tupper-lake,44.17324,-74.476384,529.1802368,north,east,149.83774997372842,215.28601705097122,209.17831896966237,163.5237825029798,153.70220722149375,181.78554214771347,265.2083551866054,174.0594488348508
cannon-mountain,44.176831,-71.701678,320.8907471,north,east,151.78503278710895,210.14397876651566,220.70431752104568,168.72356541029106,151.05019440082378,197.32608007913237,286.4450603681348,215.4096748838287
mad-river-glen,44.202282,-72.918033,405.780365,north,east,146.8644807276631,210.79661921831055,199.14598639681157,161.82204877033402,190.47480893262028,202.1941598812109,298.0151173876009,217.56831521607208
camden-snow-bowl,44.216988,-69.135241,17.72471619,north,east,156.5438841046739,220.2582307229758,140.827360165402,154.1986078140862,144.6462884647194,228.12260944257864,335.7130068025764,135.54851021078719
caberfae-peaks,44.24475,-85.718764,274.6734009,north,midwest,167.19368399775604,235.34248695505508,312.50957719690354,126.27784214677145,180.73317567847658,221.2493320264367,254.90290587878548,181.89564452808295
steeplechase-ski-area,44.246918,-92.515631,353.5370483,north,midwest,162.79199306706542,200.63119811041858,168.88398332487188,176.546855019802,172.5141948779167,157.3031023432238,170.695546837076,137.83172926295296
bretton-woods,44.259573,-71.461719,299.1827393,north,east,227.88497271235033,270.81169853687936,303.86532899062973,197.32258978150966,249.11577981102965,249.0994549698747,329.29317330276916,242.77862101645152
wildcat-mountain,44.263953,-71.237943,269.0414124,north,east,182.1328004725356,251.89246370426486,290.473805449739,173.1041082310286,286.3537952715682,291.2936510700304,357.00708676799786,254.1735043173046
mt-eustis-littleton,44.297429,-71.773973,347.5927734,north,east,160.9265552043187,227.8636201800184,185.84768544055464,185.0528883631547,197.69449587614054,202.07496462452508,313.1146839647531,227.9952215669726
