resort,url,maps_url,lat,lon,altitude,beg,int,adv
eagle-rock,https://www.skiresort.info/ski-resort/eagle-rock/,"https://www.google.com/maps?q=40.930164,-76.108315",40.930164,-76.108315,326.4576111,28,40,32
shawnee-mountain,https://www.skiresort.info/ski-resort/shawnee-mountain/,"https://www.google.com/maps?q=41.039594,-75.081071",41.039594,-75.081071,288.371521,22,50,28
big-boulder,https://www.skiresort.info/ski-resort/big-boulder/,"https://www.google.com/maps?q=41.049885675521715,-75.60022335050364",41.04988568,-75.60022335,328.2630615,60,20,20
camelback,https://www.skiresort.info/ski-resort/camelback/,"https://www.google.com/maps?q=41.050737,-75.355783",41.050737,-75.355783,310.9093323,59,32,9
campgaw-mountain,https://www.skiresort.info/ski-resort/campgaw-mountain/,"https://www.google.com/maps?q=41.059431,-74.195553",41.059431,-74.195553,74.9332428,77,23,
wasatch-peaks-ranch,https://www.skiresort.info/ski-resort/wasatch-peaks-ranch/,"https://www.google.com/maps?q=41.099989,-111.816592",41.099989,-111.816592,1504.126587,,,
alpine-mountain-ski-snow-tubing-center,https://www.skiresort.info/ski-resort/alpine-mountain-ski-snow-tubing-center/,"https://www.google.com/maps?q=41.113002,-75.225942",41.113002,-75.225942,315.3963928,25,50,25
jack-frost-mountain,https://www.skiresort.info/ski-resort/jack-frost-mountain/,"https://www.google.com/maps?q=41.114086,-75.650243",41.114086,-75.650243,338.1846008,50,46,4
mountain-creek-vernon,https://www.skiresort.info/ski-resort/mountain-creek-vernon/,"https://www.google.com/maps?q=41.17821,-74.530832",41.17821,-74.530832,183.7734528,17,58,25
snowbasin,https://www.skiresort.info/ski-resort/snowbasin/,"https://www.google.com/maps?q=41.216532569162,-111.857333723758",41.21653257,-111.8573337,1496.866943,20,50,30
mount-peter,https://www.skiresort.info/ski-resort/mount-peter/,"https://www.google.com/maps?q=41.247047,-74.295009",41.247047,-74.295009,121.8662109,26,53,21
diamond-peaks,https://www.skiresort.info/ski-resort/diamond-peaks/,"https://www.google.com/maps?q=41.262002,-111.780095",41.262002,-111.780095,1577.351929,,,
boston-mills,https://www.skiresort.info/ski-resort/boston-mills/,"https://www.google.com/maps?q=41.264483,-81.565161",41.264483,-81.565161,263.0518494,34,33,33
brandywine,https://www.skiresort.info/ski-resort/brandywine/,"https://www.google.com/maps?q=41.285496,-81.555489",41.285496,-81.555489,260.1777344,50,35,15
nordic-valley,https://www.skiresort.info/ski-resort/nordic-valley/,"https://www.google.com/maps?q=41.309221,-111.864479",41.309221,-111.864479,1517.388794,26,42,32
mt-shasta-ski-park,https://www.skiresort.info/ski-resort/mt-shasta-ski-park/,"https://www.google.com/maps?q=41.320985,-122.204287",41.320985,-122.204287,1171.449829,22,35,43
green-mountain-brush-creek-ranch,https://www.skiresort.info/ski-resort/green-mountain-brush-creek-ranch/,"https://www.google.com/maps?q=41.331230784249115,-106.60612847232306",41.33123078,-106.6061285,2339.9375,12,59,29
snowy-range,https://www.skiresort.info/ski-resort/snowy-range/,"https://www.google.com/maps?q=41.340703,-106.18291",41.340703,-106.18291,2304.376221,27,55,18
montage-mountain-resort,https://www.skiresort.info/ski-resort/montage-mountain-resort/,"https://www.google.com/maps?q=41.35001,-75.661924",41.35001,-75.661924,361.3044739,21,42,37
powder-mountain,https://www.skiresort.info/ski-resort/powder-mountain/,"https://www.google.com/maps?q=41.383583,-111.776844",41.383583,-111.776844,1607.556641,25,40,35
mt-crescent,https://www.skiresort.info/ski-resort/mt-crescent/,"https://www.google.com/maps?q=41.39452132071175,-95.86165288635132",41.39452132,-95.86165289,331.6807861,40,40,20
victor-constant-west-point,https://www.skiresort.info/ski-resort/victor-constant-west-point/,"https://www.google.com/maps?q=41.395821155518085,-73.98371066084322",41.39582116,-73.98371066,36.52210617,9,71,20
snowstar,https://www.skiresort.info/ski-resort/snowstar/,"https://www.google.com/maps?q=41.425493,-90.749861",41.425493,-90.749861,193.4380341,14,37,49
