resort,url,maps_url,lat,lon
gunstock,https://www.skiresort.info/ski-resort/gunstock/,"https://www.google.com/maps?q=43.540585,-71.366086",43.540585,-71.366086
big-snow-american-dream,https://www.skiresort.info/ski-resort/big-snow-american-dream/,"https://www.google.com/maps?q=40.809339,-74.070994",40.809339,-74.070994
china-peak,https://www.skiresort.info/ski-resort/china-peak/,"https://www.google.com/maps?q=37.235275,-119.154877",37.235275,-119.154877
dodge-ridge,https://www.skiresort.info/ski-resort/dodge-ridge/,"https://www.google.com/maps?q=38.18922,-119.956171",38.18922,-119.956171
mont-orford,https://www.skiresort.info/ski-resort/mont-orford/,"https://www.google.com/maps?q=45.317894,-72.222003",45.317894,-72.222003
great-divide,https://www.skiresort.info/ski-resort/great-divide/,"https://www.google.com/maps?q=46.752298,-112.312814",46.752298,-112.312814
bear-mountain-big-bear-lake,https://www.skiresort.info/ski-resort/bear-mountain-big-bear-lake/,"https://www.google.com/maps?q=34.22737,-116.861682",34.22737,-116.861682
blue-mountain-resort-collingwood,https://www.skiresort.info/ski-resort/blue-mountain-resort-collingwood/,"https://www.google.com/maps?q=44.502266666507,-80.31302481541827",44.502266666507,-80.31302481541827
mt-sunapee,https://www.skiresort.info/ski-resort/mt-sunapee/,"https://www.google.com/maps?q=43.330009,-72.080424",43.330009,-72.080424
canada-olympic-park-calgary,https://www.skiresort.info/ski-resort/canada-olympic-park-calgary/,"https://www.google.com/maps?q=51.082059279668925,-114.21643941306861",51.082059279668925,-114.21643941306861
silver-mountain,https://www.skiresort.info/ski-resort/silver-mountain/,"https://www.google.com/maps?q=47.540756,-116.133376",47.540756,-116.133376
lookout-pass,https://www.skiresort.info/ski-resort/lookout-pass/,"https://www.google.com/maps?q=47.457232,-115.696936",47.457232,-115.696936
santa-fe,https://www.skiresort.info/ski-resort/santa-fe/,"https://www.google.com/maps?q=35.795667,-105.801717",35.795667,-105.801717
owls-head,https://www.skiresort.info/ski-resort/owls-head/,"https://www.google.com/maps?q=45.073259,-72.297952",45.073259,-72.297952
baldy-mountain-resort,https://www.skiresort.info/ski-resort/baldy-mountain-resort/,"https://www.google.com/maps?q=49.153615,-119.23603",49.153615,-119.23603
ragged-mountain,https://www.skiresort.info/ski-resort/ragged-mountain/,"https://www.google.com/maps?q=43.484491,-71.84254",43.484491,-71.84254
waterville-valley,https://www.skiresort.info/ski-resort/waterville-valley/,"https://www.google.com/maps?q=43.964573,-71.52885",43.964573,-71.52885
terry-peak,https://www.skiresort.info/ski-resort/terry-peak/,"https://www.google.com/maps?q=44.336899,-103.82462",44.336899,-103.82462
camelback,https://www.skiresort.info/ski-resort/camelback/,"https://www.google.com/maps?q=41.050737,-75.355783",41.050737,-75.355783
blue-mountain,https://www.skiresort.info/ski-resort/blue-mountain/,"https://www.google.com/maps?q=40.820998,-75.513366",40.820998,-75.513366
snowshoe-mountain,https://www.skiresort.info/ski-resort/snowshoe-mountain/,"https://www.google.com/maps?q=38.414703,-79.984106",38.414703,-79.984106
beaver-mountain,https://www.skiresort.info/ski-resort/beaver-mountain/,"https://www.google.com/maps?q=41.968527,-111.541757",41.968527,-111.541757
granite-peak-at-rib-mountain-state-park,https://www.skiresort.info/ski-resort/granite-peak-at-rib-mountain-state-park/,"https://www.google.com/maps?q=44.929393,-89.683864",44.929393,-89.683864
snow-valley,https://www.skiresort.info/ski-resort/snow-valley/,"https://www.google.com/maps?q=34.223918222143205,-117.03534196564591",34.223918222143205,-117.03534196564591
wildcat-mountain,https://www.skiresort.info/ski-resort/wildcat-mountain/,"https://www.google.com/maps?q=44.263953,-71.237943",44.263953,-71.237943
the-highlands-at-harbor-springs,https://www.skiresort.info/ski-resort/the-highlands-at-harbor-springs/,"https://www.google.com/maps?q=45.470846,-84.937085",45.470846,-84.937085
saddleback,https://www.skiresort.info/ski-resort/saddleback/,"https://www.google.com/maps?q=44.946892,-70.526025",44.946892,-70.526025
snow-summit-big-bear-lake,https://www.skiresort.info/ski-resort/snow-summit-big-bear-lake/,"https://www.google.com/maps?q=34.235461,-116.888834",34.235461,-116.888834
sandia-peak,https://www.skiresort.info/ski-resort/sandia-peak/,"https://www.google.com/maps?q=35.206833,-106.413993",35.206833,-106.413993
