resort,url
mccauly-mountain,https://www.skiresort.info/ski-resort/mccauly-mountain/
camden-snow-bowl,https://www.skiresort.info/ski-resort/camden-snow-bowl/
mont-habitant,https://www.skiresort.info/ski-resort/mont-habitant/
ski-brule,https://www.skiresort.info/ski-resort/ski-brule/
cuchara-mountain-park,https://www.skiresort.info/ski-resort/cuchara-mountain-park/
mad-river-mountain,https://www.skiresort.info/ski-resort/mad-river-mountain/
wolf-ridge,https://www.skiresort.info/ski-resort/wolf-ridge/
paoli-peaks,https://www.skiresort.info/ski-resort/paoli-peaks/
granite-gorge,https://www.skiresort.info/ski-resort/granite-gorge/
crystal-mountain-mi,https://www.skiresort.info/ski-resort/crystal-mountain-mi/
kinosoo-ridge,https://www.skiresort.info/ski-resort/kinosoo-ridge/
sir-sams,https://www.skiresort.info/ski-resort/sir-sams/
mont-ripley,https://www.skiresort.info/ski-resort/mont-ripley/
sommet-gabriel,https://www.skiresort.info/ski-resort/sommet-gabriel/
