resort,url,maps_url,lat,lon,altitude,beg,int,adv,geometry
buttermilk-mountain,https://www.skiresort.info/ski-resort/buttermilk-mountain/,"https://www.google.com/maps?q=39.205345,-106.860261",39.205345,-106.860261,3094.887451,35.0,39.0,26.0,POINT (-106.86026227471233 39.20534324839091)
snowmass,https://www.skiresort.info/ski-resort/snowmass/,"https://www.google.com/maps?q=39.212634,-106.920657",39.212634,-106.920657,3111.561035,5.0,48.0,47.0,POINT (-106.92065831680216 39.21263239482734)
diamond-peak,https://www.skiresort.info/ski-resort/diamond-peak/,"https://www.google.com/maps?q=39.25394,-119.922981",39.25394,-119.922981,1841.755127,12.0,49.0,39.0,POINT (-119.92297523900686 39.25393561546843)
northstar-california-resort,https://www.skiresort.info/ski-resort/northstar-california-resort/,"https://www.google.com/maps?q=39.274109,-120.119721",39.274109,-120.119721,1738.823853,26.0,46.0,28.0,POINT (-120.11971417047569 39.27410560625028)
sugar-bowl,https://www.skiresort.info/ski-resort/sugar-bowl/,"https://www.google.com/maps?q=39.30489,-120.33256",39.30489,-120.33256,1513.034912,17.0,45.0,38.0,POINT (-120.3325536148607 39.30488794140935)
donner-ski-ranch,https://www.skiresort.info/ski-resort/donner-ski-ranch/,"https://www.google.com/maps?q=39.31810550283003,-120.33076822757721",39.3181055,-120.3307682,1516.663086,25.0,50.0,25.0,POINT (-120.33076192476935 39.318103493107216)
soda-springs,https://www.skiresort.info/ski-resort/soda-springs/,"https://www.google.com/maps?q=39.320857,-120.379686",39.320857,-120.379686,1465.853027,30.0,50.0,20.0,POINT (-120.37967990406902 39.32085501827956)
mt-rose,https://www.skiresort.info/ski-resort/mt-rose/,"https://www.google.com/maps?q=39.326679142826286,-119.88506019115448",39.32667914,-119.8850602,1819.469604,20.0,30.0,50.0,POINT (-119.88505546846773 39.326676477952326)
boreal,https://www.skiresort.info/ski-resort/boreal/,"https://www.google.com/maps?q=39.335787,-120.35059",39.335787,-120.35059,1498.461914,30.0,55.0,15.0,POINT (-120.3505839424515 39.335785066235516)
sky-tavern,https://www.skiresort.info/ski-resort/sky-tavern/,"https://www.google.com/maps?q=39.336568152489086,-119.8742627487239",39.33656815,-119.8742627,1814.31604,59.0,41.0,,POINT (-119.87425804843511 39.336565787791436)
tahoe-donner,https://www.skiresort.info/ski-resort/tahoe-donner/,"https://www.google.com/maps?q=39.353754,-120.259337",39.353754,-120.259337,1594.353149,43.0,57.0,,POINT (-120.25933080876098 39.35375213680561)
cooper,https://www.skiresort.info/ski-resort/cooper/,"https://www.google.com/maps?q=39.359856,-106.300793",39.359856,-106.300793,2919.102539,31.0,38.0,31.0,POINT (-106.30079292485138 39.359854188067686)
