resort,url,maps_url,lat,lon,altitude
mont-blanc,https://www.skiresort.info/ski-resort/mont-blanc/,"https://www.google.com/maps?q=46.108559,-74.483279",46.108559,-74.483279,353.7911071777344
loveland,https://www.skiresort.info/ski-resort/loveland/,"https://www.google.com/maps?q=39.679952,-105.897662",39.679952,-105.897662,2748.595458984375
grouse-mountain,https://www.skiresort.info/ski-resort/grouse-mountain/,"https://www.google.com/maps?q=49.372366,-123.099103",49.372366,-123.099103,553.1820068359375
gore-mountain,https://www.skiresort.info/ski-resort/gore-mountain/,"https://www.google.com/maps?q=43.67356270915812,-74.00791936403081",43.67356270915812,-74.00791936403081,493.1131896972656
bridger-bowl-bozeman,https://www.skiresort.info/ski-resort/bridger-bowl-bozeman/,"https://www.google.com/maps?q=45.817263,-110.897402",45.817263,-110.897402,2010.5074462890625
bogus-basin,https://www.skiresort.info/ski-resort/bogus-basin/,"https://www.google.com/maps?q=43.763764,-116.102378",43.763764,-116.102378,1455.02099609375
kirkwood,https://www.skiresort.info/ski-resort/kirkwood/,"https://www.google.com/maps?q=38.683211,-120.067869",38.683211,-120.067869,1720.6673583984375
mount-washington,https://www.skiresort.info/ski-resort/mount-washington/,"https://www.google.com/maps?q=49.74196209891872,-125.30383823849697",49.74196209891872,-125.30383823849697,201.7686767578125
crystal-mountain-wa,https://www.skiresort.info/ski-resort/crystal-mountain-wa/,"https://www.google.com/maps?q=46.934635,-121.475235",46.934635,-121.475235,1124.8172607421875
hunter-mountain,https://www.skiresort.info/ski-resort/hunter-mountain/,"https://www.google.com/maps?q=42.204298,-74.211836",42.204298,-74.211836,173.25213623046875
loon-mountain,https://www.skiresort.info/ski-resort/loon-mountain/,"https://www.google.com/maps?q=44.056509,-71.62969",44.056509,-71.62969,289.3946838378906
tamarack-resort,https://www.skiresort.info/ski-resort/tamarack-resort/,"https://www.google.com/maps?q=44.673212,-116.122260",44.673212,-116.12226,1985.6522216796875
apache,https://www.skiresort.info/ski-resort/apache/,"https://www.google.com/maps?q=33.3970139573004,-105.78826037247423",33.3970139573004,-105.78826037247424,1542.5966796875
